mtry,ROC,Sens,Spec,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,Accuracy,Kappa,J,Dist,ROCSD,SensSD,SpecSD,SensitivitySD,SpecificitySD,Pos Pred ValueSD,Neg Pred ValueSD,PrecisionSD,RecallSD,F1SD,PrevalenceSD,Detection RateSD,Detection PrevalenceSD,Balanced AccuracySD,AccuracySD,KappaSD,JSD,DistSD,cluster,model,shrinkage,interaction.depth,n.minobsinnode,n.trees,char_vars
NA,0.9098595865584289,0.8249178907272521,0.825126700770927,0.8249178907272521,0.825126700770927,0.8243759566302372,0.8258433591839099,0.8243759566302372,0.8249178907272521,0.8234708446248273,0.4993461593759158,0.41188107051979117,0.4996274060450119,0.8250222957490896,0.8247885756186547,0.6484147988523817,0.6500445914981791,0.25162275988526317,0.01767379415977415,0.04517513177150716,0.03757216806979473,0.04517513177150716,0.03757216806979473,0.04229515805955707,0.04116028375300489,0.04229515805955702,0.04517513177150716,0.02970327725950522,0.04130078009715212,0.04105514228486641,0.0419023395402276,0.023926843616137557,0.02458425243225044,0.04855850161475909,0.047853687232275115,0.03379047840923858,cluster.14,gbm,0.1,1,10,50,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, twi30agg"
NA,0.9143383203920037,0.8358923991467286,0.8253051901429196,0.8358923991467286,0.8253051901429196,0.8260106124654404,0.8350395398126155,0.8260106124654404,0.8358923991467286,0.8299340426019376,0.4993461593759158,0.4172789830456459,0.5048021968528097,0.8305987946448242,0.8304096098625664,0.6596047364336547,0.6611975892896483,0.2434864280338604,0.017741243613362843,0.04895732709188808,0.02801109288087223,0.04895732709188808,0.02801109288087223,0.03410868518833949,0.045540674643833205,0.03410868518833952,0.04895732709188808,0.02959124160034617,0.04130078009715212,0.04163087113301241,0.040357396921248005,0.02480764258461133,0.024770519332375392,0.04910617679609063,0.04961528516922266,0.033784245053582795,cluster.14,gbm,0.1,2,10,50,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, twi30agg"
NA,0.9164435672779103,0.8379727441014205,0.8306261820996513,0.8379727441014205,0.8306261820996513,0.8313955282382814,0.8370081986673642,0.8313955282382814,0.8379727441014205,0.8336769108133765,0.4993461593759158,0.41825231556768055,0.5030234806415215,0.8342994631005359,0.8341349911179238,0.6670261817164086,0.6685989262010719,0.2382110420534429,0.016769012969003953,0.042778017860880084,0.03260722261804843,0.042778017860880084,0.03260722261804843,0.03482117399975168,0.041250506728015765,0.03482117399975166,0.042778017860880084,0.024639760369122146,0.04130078009715212,0.039010732958447,0.04038766144066736,0.02199327733300724,0.021667453192962725,0.04303104035750409,0.04398655466601448,0.029808501565995384,cluster.14,gbm,0.1,3,10,50,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, twi30agg"
NA,0.9140832562128289,0.830141147921178,0.8294089871824337,0.830141147921178,0.8294089871824337,0.82881210581068,0.8307201492655518,0.82881210581068,0.830141147921178,0.8285276207804397,0.4993461593759158,0.41451174679198216,0.49992943405563983,0.8297750675518059,0.8297479001524087,0.6581686275929743,0.6595501351036117,0.24430661515445362,0.018714508417135175,0.04378303104101886,0.03136464545376877,0.04378303104101886,0.03136464545376877,0.035969259228315204,0.040397371069900746,0.0359692592283152,0.04378303104101886,0.027426209815044858,0.04130078009715212,0.041064898736480844,0.04117191279488752,0.022655550142340376,0.022778137961983178,0.0451180639489072,0.04531110028468075,0.031237911223621916,cluster.14,gbm,0.1,1,10,100,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, twi30agg"
NA,0.916955870286173,0.8375687140413501,0.8288931076884136,0.8375687140413501,0.8288931076884136,0.8301157966509164,0.8363220409781513,0.8301157966509164,0.8375687140413501,0.8327918104418887,0.4993461593759158,0.41799230353230804,0.503587886245642,0.8332309108648819,0.8330505614430583,0.6648798152973269,0.6664618217297638,0.24007249522158264,0.01754403197625465,0.045380132810812414,0.036104244525222894,0.045380132810812414,0.036104244525222894,0.03726592634027474,0.04420466300476934,0.03726592634027474,0.045380132810812414,0.027448645660634916,0.04130078009715212,0.039089626661455504,0.04114288312935693,0.025653619949860904,0.025347728095586115,0.05029322326905056,0.05130723989972181,0.034209711531966974,cluster.14,gbm,0.1,2,10,100,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, twi30agg"
NA,0.9193462804592747,0.842045272614466,0.8339648039989171,0.842045272614466,0.8339648039989171,0.8345503305426971,0.8413525845556665,0.8345503305426971,0.842045272614466,0.8373302273676321,0.4993461593759158,0.4204219359162962,0.503601661634454,0.8380050383066916,0.8378960508222226,0.6745257469821148,0.6760100766133831,0.2330210312239542,0.016833515569785806,0.04337186116052916,0.03217041899838869,0.04337186116052916,0.03217041899838869,0.03537897564370943,0.039221836883230894,0.035378975643709405,0.04337186116052916,0.02608873804262378,0.04130078009715212,0.04091512734254448,0.04104457095741611,0.022505059256658858,0.021950375410533796,0.0434675593625332,0.045010118513317716,0.030605555070125495,cluster.14,gbm,0.1,3,10,100,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, twi30agg"
NA,0.9157375773015277,0.8340893543421966,0.8294957870344217,0.8340893543421966,0.8294957870344217,0.8297666395203179,0.8338605604275889,0.8297666395203179,0.8340893543421966,0.8309042756345667,0.4993461593759158,0.41642980686539843,0.5018172888389821,0.8317925706883091,0.8316961655158989,0.6621311793348263,0.6635851413766183,0.24172301961251294,0.018845288239731885,0.04298174189109567,0.03414409774176548,0.04298174189109567,0.03414409774176548,0.037855737968833764,0.040369673101463624,0.03785573796883378,0.04298174189109567,0.02688505238986596,0.04130078009715212,0.040401657683081,0.04129271602185103,0.022875056811459567,0.02311346999633147,0.04574091875531548,0.045750113622919135,0.031268289988811586,cluster.14,gbm,0.1,1,10,150,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, twi30agg"
NA,0.9179298337220699,0.8379527350511411,0.8304629184748926,0.8379527350511411,0.8304629184748926,0.8313266680225194,0.8368073958605015,0.8313266680225194,0.8379527350511411,0.8336321253351403,0.4993461593759158,0.4182241105177093,0.5031189232741213,0.8342078267630169,0.8339831383853815,0.6667819528016203,0.6684156535260337,0.23832743292638378,0.016677548052753153,0.04145128955120701,0.03535062015603075,0.04145128955120701,0.03535062015603075,0.03783731798816137,0.0410239506608343,0.03783731798816135,0.04145128955120701,0.025483764890685507,0.04130078009715212,0.03841781413672801,0.03970676819212355,0.02332428652979814,0.023184072129105875,0.04591689095153128,0.04664857305959628,0.03114947796893081,cluster.14,gbm,0.1,2,10,150,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, twi30agg"
NA,0.9190708164782038,0.8414707521576832,0.8363409130777621,0.8414707521576832,0.8363409130777621,0.8367601054631437,0.8409144748316648,0.8367601054631437,0.8414707521576832,0.8381274702293469,0.4993461593759158,0.4200394681898908,0.5019710269136394,0.8389058326177227,0.8387617500902265,0.6762993823581683,0.6778116652354453,0.2317650920659789,0.0154260448830633,0.040984001024995255,0.03132389388156201,0.040984001024995255,0.03132389388156201,0.03433801427490753,0.0383433516392751,0.03433801427490753,0.040984001024995255,0.0226435760042008,0.04130078009715212,0.03914653888268319,0.04073283455824283,0.019689469416259688,0.01932834046440287,0.03802975357353998,0.039378938832519375,0.02572392864517385,cluster.14,gbm,0.1,3,10,150,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, twi30agg"
NA,0.9098701579653495,0.8237878041082577,0.8274106819971472,0.8237878041082577,0.8274106819971472,0.8260613632926025,0.8254002379288286,0.8260613632926025,0.8237878041082577,0.8234932315094331,0.4996379847883966,0.41116785588721955,0.4981294910238234,0.8255992430527024,0.824568235962219,0.6490178705467237,0.6511984861054049,0.2520274077692366,0.0200058620468234,0.04707088312032946,0.03770252959969834,0.04707088312032946,0.03770252959969834,0.03991274806239183,0.04411055010110453,0.03991274806239182,0.04707088312032946,0.02344426335556099,0.03135555974865836,0.02877490401607174,0.03301295433774017,0.019639737147979727,0.018945042615224998,0.03807263585635393,0.03927947429595945,0.025678142481020415,cluster.15,gbm,0.1,1,10,50,"accum30, nppmmid30agg, deficitRS, tpi30agg, decid30RS, twi30agg, cad30RS, NIR_med, cpg30precip, NDVI_med, vvsd30agg"
NA,0.916441490983956,0.8375494854381331,0.8314498265459239,0.8375494854381331,0.8314498265459239,0.8317211284955291,0.8370036378402997,0.8317211284955291,0.8375494854381331,0.8333506214289872,0.4996379847883966,0.41809812255502865,0.5031318646343609,0.8344996559920285,0.8334263956872998,0.6667631517026892,0.6689993119840569,0.23889375326364032,0.018977682439164992,0.038246598335503215,0.04086910589099461,0.038246598335503215,0.04086910589099461,0.043528082353509905,0.03746572986432377,0.04352808235350992,0.038246598335503215,0.021639387640423866,0.03135555974865836,0.026696877923435645,0.029201772217236813,0.018686882340672565,0.018271795815333197,0.03658744776153209,0.03737376468134513,0.02469554154398002,cluster.15,gbm,0.1,2,10,50,"accum30, nppmmid30agg, deficitRS, tpi30agg, decid30RS, twi30agg, cad30RS, NIR_med, cpg30precip, NDVI_med, vvsd30agg"
NA,0.9191590956416522,0.8408639026972272,0.8341549234781584,0.8408639026972272,0.8341549234781584,0.8345769631139035,0.8401819866174681,0.8345769631139035,0.8408639026972272,0.836391115692352,0.4996379847883966,0.4196785449500758,0.5033205176794565,0.8375094130876929,0.8363985874322983,0.6727206430918105,0.6750188261753857,0.2348740191005655,0.017501194616185416,0.040026017793148363,0.03997780395393702,0.040026017793148363,0.03997780395393702,0.04222355641372673,0.03935197511108081,0.04222355641372677,0.040026017793148363,0.02105028383267532,0.03135555974865836,0.026091829764419105,0.029390636911997232,0.018450055013620226,0.017987719062892787,0.036099774531491845,0.03690011002724045,0.02457094583404008,cluster.15,gbm,0.1,3,10,50,"accum30, nppmmid30agg, deficitRS, tpi30agg, decid30RS, twi30agg, cad30RS, NIR_med, cpg30precip, NDVI_med, vvsd30agg"
