stream,ID,twi30agg,tpi30agg,accum30,vv30agg,vvsd30agg,npol30agg,NDVI_med,nppmmid30agg,deficitRS,cad30RS,decid30RS,Green_med,NIR_med,cpg30precip,NHDPlus,utm1,utm2,lon,Class,spatial_cluster80,spatial_cluster40,sb_med
X1,608,8.49321365356445,-2.59905338287354,1269.19848632812,-8.14825630187988,1.93288266658783,0.246379807591438,0.617045938968658,2082.45629882812,317,-5.94336175918579,0.110359221696854,712.242309570312,2902.56323242188,79341,1,207168.900599999,524912.3347,-114.829194243528,X1,73,11,2
X1,2877,8.73239326477051,-2.13252758979797,33259.234375,-7.43554019927979,1.5777115821838399,0.286766886711121,0.718813121318817,5312.2587890625,381,-7.91927194595337,0.115161947906017,385.148254394531,1833.27185058594,63875,2,193112.352700001,546105.918500001,-115.03955879811,X1,16,100,5
X1,3414,6.32209444046021,-2.02080631256104,3895.34594726562,-8.36118793487549,1.44253742694855,0.236892357468605,0.769399881362915,6560.8427734375,193,-3.54629063606262,0.35001477599144,431.151519775391,2302.81640625,90923,1,168998.5329,553394.1424,-115.374087482397,X1,88,126,9
X1,1155,7.10614442825317,-4.19268131256104,1446.50146484375,-5.6805214881897,2.99023699760437,0.401053756475449,0.645247161388397,3364.61791992188,383,-5.71517324447632,0.134188368916512,632.158020019531,2605.05200195312,75171,1,211732.1196,528337.283600001,-114.770597326952,X1,48,121,3
X1,2928,8.0639123916626,-2.69117569923401,2886.18725585938,-6.59452724456787,2.47530221939087,0.327535927295685,0.726280868053436,5374.30859375,316,-4.18303680419922,0.137892305850983,401.428100585938,2008.35009765625,67507,1,192111.7995,546423.688200001,-115.053441398589,X1,26,128,5
X1,1549,7.66733598709106,-1.07855904102325,644.90234375,-9.47970867156982,3.95838260650635,0.258623689413071,0.687199234962463,6725.23779296875,200,-2.08155298233032,0.0221213474869728,360.953216552734,1601.30419921875,124672,0,179521.8585,535330.432700001,-115.213262344519,X1,39,139,7
X1,951,7.45056772232056,-1.03134489059448,528.058959960938,-8.24923515319824,1.52238810062408,0.246548265218735,0.755243241786957,5271.517578125,297,-4.43155193328857,0.284895420074463,435.425598144531,2200.57006835938,79704,0,211186.796399999,527089.177999999,-114.776838247879,X1,104,155,3
X1,4071,6.88732051849365,-0.103217229247093,291.557769775391,-9.52927017211914,2.34564423561096,0.266212940216064,0.643422186374664,5561.6416015625,198,-2.1352014541626,0.284566760063171,373.848724365234,1542.99536132812,83256,0,171950.659499999,566846.9684,-115.347660714131,X1,103,185,5
X1,2314,8.65174293518066,-0.283338755369186,2057.31591796875,-7.93213033676147,1.56010246276855,0.274467617273331,0.646342992782593,5014.4052734375,332,-5.25470447540283,0.196863949298859,491.170257568359,1990.2021484375,67771,0,191541.988,542523.211200001,-115.057413156896,X1,5,46,5
X1,1392,7.45924997329712,0.439141154289246,331.762634277344,-9.60255146026611,2.31298732757568,0.253870666027069,0.66250216960907,6355.51025390625,231,-2.64865851402283,0.340403348207474,378.97998046875,1640.373046875,84481,0,177281.770300001,533778.176999999,-115.242048145327,X1,41,141,7
X1,2739,7.29767036437988,0.328436970710754,548.380676269531,-9.18087959289551,3.19184517860413,0.249953389167786,0.655035197734833,2748.27270507812,218,-2.63640713691711,0.219121903181076,567.704956054688,2345.66284179688,105884,0,158215.953299999,548939.908500001,-115.515820465142,X1,91,71,8
X1,1670,10.3603944778442,-0.435777455568314,10623.896484375,-10.0241422653198,1.83301603794098,0.22447082400322,0.58825021982193,2150.72778320312,305,-6.16128635406494,0.252514213323593,593.8935546875,2354.52416992188,87769,1,190087.5208,535337.3144,-115.070197044485,X1,77,129,6
X1,595,5.60820627212524,0.846937417984009,86.0697708129883,-8.38267707824707,1.80224752426147,0.274384796619415,0.704987704753876,6672.54052734375,239,-2.23772311210632,0.198062598705292,345.534210205078,1564.42517089844,64141,0,171959.2534,528053.4516,-115.308330119395,X1,103,185,9
X1,434,8.0774097442627,-4.71800422668457,837.252868652344,-8.15420436859131,1.8318076133728,0.285721719264984,0.718502819538116,5176.1982421875,284,-4.85683584213257,0.186677619814873,359.571105957031,1646.65588378906,69835,0,208182.7753,523223.125499999,-114.813930327186,X1,71,114,4
X1,760,7.1342887878418,-0.377265095710754,302.673126220703,-9.53660202026367,2.06720852851868,0.243174985051155,0.760168671607971,6865.740234375,233,-1.87135314941406,0.360976189374924,376.693756103516,2120.43505859375,76102,0,168337.409,529834.0569,-115.359098226889,X1,107,73,8
X1,3323,7.63747787475586,-0.375420451164246,686.400024414062,-9.6440896987915,2.22008442878723,0.244538277387619,0.4947210252285,1878.31909179688,311,-5.14305305480957,0.136051326990128,687.530090332031,2148.85961914062,60906,0,181396.007099999,551482.1195,-115.203834857007,X1,44,97,1
X1,1754,7.18225383758545,0.308824330568314,240.511093139648,-9.70020866394043,3.3944525718689,0.285238444805145,0.529976844787598,5597.01416015625,255,-3.10813808441162,0.119343772530556,616.940673828125,2052.98876953125,95822,0,177775.3298,538191.3039,-115.239751241432,X1,105,82,4
X1,3991,9.56599712371826,-1.76589632034302,4516.75,-7.9570746421814,1.84904861450195,0.267997890710831,0.752776920795441,6396.373046875,205,-4.25984764099121,0.0853960365056992,427.9423828125,2277.4306640625,96931,1,170280.1983,564796.152799999,-115.368301711215,X1,67,70,1
X1,2342,9.19924736022949,-0.395399302244186,2151.04931640625,-9.23023414611816,1.65311706066132,0.239784434437752,0.696145296096802,5140.5546875,384,-7.59622812271118,0.206828594207764,429.186706542969,1874.0947265625,52205,1,194890.492900001,542408.175799999,-115.011894797647,X1,50,68,5
X1,10608,5.64661979675293,0.602891683578491,70.1652221679688,-8.16098117828369,2.10064196586609,0.29051411151886,0.674578726291656,6049.1357421875,219,-2.19038462638855,0.277183473110199,340.379364013672,1503.72277832031,72997,0,184361.6863,525682.0547,-115.138312048895,X1,70,134,10
X1,1992,7.24124145507812,0.867336690425873,384.152709960938,-8.82277202606201,2.22169780731201,0.23979289829731,0.749569773674011,6325.4716796875,233,-2.16524052619934,0.376845598220825,419.328857421875,2170.88671875,82559,0,178724.3739,540950.880000001,-115.229634161754,X1,56,8,3
X1,573,11.6583843231201,-1.92715120315552,5697.0927734375,-9.11735820770264,2.04185819625854,0.211078986525536,0.6556156873703,3003.63061523438,280,-3.10927677154541,0.354347914457321,550.044616699219,2332.57592773438,66497,0,172292.6291,527725.367699999,-115.30349374406,X1,43,178,9
X1,1980,7.78382587432861,-0.101820200681686,416.611083984375,-7.35229158401489,2.2401134967804,0.268680274486542,0.728254199028015,6445.16357421875,244,-4.10254573822021,0.23356206715107,366.292266845703,1723.52014160156,74843,0,164725.098200001,542185.793,-115.420588316161,X1,21,163,1
X1,326,8.37997722625732,-3.52338314056396,3893.53857421875,-8.08854007720947,1.90232586860657,0.278450429439545,0.699099540710449,5104.39892578125,368,-5.81367111206055,0.232633531093597,399.776306152344,1792.1533203125,68022,1,208287.905099999,522313.4509,-114.811673822869,X1,71,114,4
X1,4048,7.9770622253418,-3.41864681243896,4015.75634765625,-9.1962308883667,1.54595458507538,0.237094163894653,0.691086828708649,5431.04833984375,192,-2.10274338722229,0.325842201709747,369.822937011719,1558.3076171875,79802,1,174383.444700001,565827.058800001,-115.313516308983,X1,55,190,2
X1,2555,7.44876861572266,0.0035400390625,2748.26318359375,-7.59920406341553,2.14856362342834,0.283863186836243,0.697971284389496,4990.4404296875,326,-6.26423358917236,0.207961052656174,492.969818115234,2225.44189453125,66754,1,186096.1938,545267.892000001,-115.133934938294,X1,72,69,4
X1,2516,8.6995964050293,-0.580905497074127,1337.3271484375,-8.20453929901123,2.31200218200684,0.264956593513489,0.688284337520599,5982.16552734375,244,-3.01291012763977,0.107029013335705,471.098052978516,2203.68823242188,82953,0,183444.0052,545191.6918,-115.169835320446,X1,81,170,4
X1,1919,7.36400127410889,-0.322347015142441,394.988342285156,-7.0524468421936,2.44143199920654,0.286820650100708,0.699186563491821,2766.30224609375,310,-4.17900943756104,0.222623646259308,562.895629882812,2783.693359375,70633,0,165981.606899999,541607.412799999,-115.402970474841,X1,1,10,3
X1,3118,7.47929096221924,-1.83615446090698,4712.68212890625,-7.09697198867798,2.24943065643311,0.328644424676895,0.72934889793396,6393.3916015625,215,-2.11265182495117,0.199313700199127,336.900299072266,1548.71154785156,86749,0,168910.514699999,550129.0363,-115.371953944748,X1,88,138,9
X1,2711,8.04897499084473,0.022786458954215,578.587829589844,-9.40938282012939,2.40491032600403,0.237386077642441,0.674287915229797,3035.80908203125,227,-3.00304269790649,0.195590540766716,505.589996337891,2436.08984375,105347,0,158131.286499999,548826.137399999,-115.516850122332,X1,91,71,8
